Type,Crop,Jul 17,Aug 17,,Sep 17,,,Oct 17,Nov 17,Dec 17,,Jan 18,Feb 18,,Mar 18,Apr 18,,May 18,Jun 18,Total,,
Forecast,crop 1,"1,059,602","1,190,565",,"971,598",,,"857,237","853,420","867,428",,"666,936","335,027",,"86,047","609,844",,"1,581,444","1,741,160","10,820,308",,
Forecast,crop 2,0,0,,0,,,0,0,0,,"5,200","429,188",,"1,338,428","649,104",,"22,076",0,"2,443,996",,
Forecast,crop 3,"44,360","38,521",,"4,706",,,"3,727","16,265","29,908",,"41,730","2,000",,"4,694","16,915",,"18,620","33,459","254,905",,
Dispatched,crop 1,"1,181,865","1,206,950",,"1,259,397",,,"914,763","900,542","882,672",,"492,065","314,168",,"166,142","441,211",,"1,448,084","1,637,580","10,885,439",,
Dispatched,crop 2,31,90,,0,,,0,0,0,,"21,517","426,856",,"1,381,889","868,345",,"43,924",0,"2,742,652",,
Dispatched,crop 3,"44,531","67,200",,"39,564",,,"55,100","21,386","25,101",,"57,048","7,342",,"9,233","13,667",,"14,380","23,111","377,663",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
